Id,Text,Culture,Tag
8de0db9d-5757-4fcf-b7b2-0070ac1204c9,¿Dónde están los cursos disponibles?,es-MX,prc_hr_training
9f348f87-8ad4-4e82-a896-0168ea8fb80a,¿Dónde solicito permiso por paternidad?,es-MX,qry_hr_maternityleave
4ee0e685-b0a0-4f3e-a761-02b011f56cb5,¿Dónde se registra un incidente?,es-MX,prc_hr_incident
485cb3a7-7d84-4b3b-a1d1-042a34df92f6,¿Hay un formulario para reportar incidentes?,es-MX,prc_hr_incident
f9fb8d55-e93e-416c-89e3-043e5cee71ab,"Quiero mejorar mis habilidades, ¿hay capacitaciones?",es-MX,prc_hr_training
8ecc7e08-6ed4-49c6-ad95-05c79845091f,¿Puedo ver mi calificación de desempeño?,es-MX,qry_hr_perfeval
c6c8d361-ad2c-4ad0-b880-05eaf2016fb1,¿Dónde puedo subir mis facturas para el reembolso?,es-MX,prc_hr_expenserefund
9756366f-6bb2-4c8b-bcba-0636285cc512,¿La empresa ofrece fondo de ahorro?,es-MX,qry_hr_benefits
4b633a71-a18b-42b9-8fa8-08cc06ea8aae,¿Puedo pedir trabajar en otro turno?,es-MX,prc_hr_workshift
9cefe331-0249-4477-88db-0b0138ef9a46,Quiero reportar una ausencia por enfermedad,es-MX,prc_hr_sickday
c290a79c-df8b-4896-961d-0bbf9453b6b7,¿Me puedes ayudar a entender mi evaluación?,es-MX,qry_hr_perfeval
c3311b18-c070-4b36-b17c-11a8943a190e,¿Hay formulario para pedir cambio de jornada?,es-MX,prc_hr_workshift
0ef074e1-6bba-4e91-b677-123ff3082c8f,"Hola, quiero saber si hay política de horarios flexibles",es-MX,qry_hr_policies
cd92668e-923e-4b91-a373-127438dec63f,¿La empresa da bonos?,es-MX,qry_hr_benefits
b04d0311-cad0-49dd-808b-12cbc445006e,"Estoy enfermo, ¿cómo lo reporto oficialmente?",es-MX,prc_hr_sickday
2fcf379e-a97c-4247-a8ce-131797ba370a,Quiero saber cómo pedir licencia de maternidad,es-MX,qry_hr_maternityleave
93f47020-fc7d-4bf4-9f27-14249eac784c,qué hay que hacer en caso de terremoto,es-MX,qry_hr_policies
85f9b72c-9c0b-4c31-8795-1447954f8861,como le hago con algunos días de descanso,es-MX,prc_hr_holiday
20f3f4fe-51bf-478d-88bd-14b5fbbdbd7e,¿Hay alguna política sobre trabajo remoto?,es-MX,qry_hr_policies
fe9e21c1-0528-4f55-a5cc-17a1ecf6bbfa,Quiero modificar mi horario actual,es-MX,prc_hr_workshift
df81a674-b3fa-4c1e-9fdc-19048d918c1c,Quiero pedir vacaciones para diciembre,es-MX,prc_hr_holiday
fc33a430-d9f6-48a5-9b24-1907eb71ec8a,¿Dónde informo sobre un conflicto laboral?,es-MX,prc_hr_incident
e572c694-0ff7-44e2-a1f8-190af89b035e,¿Dónde están las políticas de seguridad?,es-MX,qry_hr_policies
508cbe3b-2b80-4328-bd88-19f7b1203dba,Quiero pasar al turno de la mañana,es-MX,prc_hr_workshift
541f4d8d-889d-448e-82e7-1af0ae2aefb6,¿Dónde consulto mis beneficios laborales?,es-MX,qry_hr_benefits
